  &  	  1	  15
  @  	  1	  24
  .  	  2	  23
  .  	  2	  29
  !  	  3	  16
  !  	  58	  5
  .  	  58	  13
  &  	  62	  15
  @  	  62	  24
  .  	  63	  23
  .  	  63	  29
  !  	  64	  16
  !  	  119	  5
  .  	  119	  13
  &  	  122	  20
  @  	  122	  29
  !  	  123	  16
  .  	  124	  23
  .  	  124	  29
  !  	  133	  5
  .  	  133	  13
  &  	  136	  20
  @  	  136	  29
  !  	  137	  16
  .  	  138	  23
  .  	  138	  29
  !  	  146	  5
  .  	  146	  13
  &  	  149	  20
  @  	  149	  29
  !  	  150	  16
  .  	  151	  23
  .  	  151	  29
  !  	  159	  5
  .  	  159	  13
  &  	  162	  20
  @  	  162	  29
  !  	  163	  16
  .  	  164	  23
  .  	  164	  29
  !  	  172	  5
  .  	  172	  13
  &  	  175	  20
  @  	  175	  29
  !  	  176	  16
  .  	  177	  23
  .  	  177	  29
  !  	  185	  5
  .  	  185	  13
  &  	  188	  20
  @  	  188	  29
  !  	  189	  16
  .  	  190	  23
  .  	  190	  29
  !  	  198	  5
  .  	  198	  13
  &  	  201	  20
  @  	  201	  29
  !  	  202	  16
  .  	  203	  23
  .  	  203	  29
  !  	  211	  5
  .  	  211	  13
  &  	  214	  20
  @  	  214	  29
  !  	  215	  16
  .  	  216	  23
  .  	  216	  29
  !  	  224	  5
  .  	  224	  13
  &  	  227	  20
  @  	  227	  29
  !  	  228	  16
  .  	  229	  23
  .  	  229	  29
  !  	  237	  5
  .  	  237	  13
  &  	  240	  20
  @  	  240	  29
  !  	  241	  16
  .  	  242	  23
  .  	  242	  29
  !  	  250	  5
  .  	  250	  13
  &  	  253	  20
  @  	  253	  29
  !  	  254	  16
  .  	  255	  23
  .  	  255	  29
  !  	  263	  5
  .  	  263	  13
  &  	  266	  20
  @  	  266	  29
  !  	  267	  16
  .  	  268	  23
  .  	  268	  29
  !  	  276	  5
  .  	  276	  13
  &  	  279	  20
  @  	  279	  29
  !  	  280	  16
  .  	  281	  23
  .  	  281	  29
  !  	  289	  5
  .  	  289	  13
  &  	  292	  20
  @  	  292	  29
  !  	  293	  16
  .  	  294	  23
  .  	  294	  29
  !  	  302	  5
  .  	  302	  13
  &  	  305	  20
  @  	  305	  29
  !  	  306	  16
  .  	  307	  23
  .  	  307	  29
  !  	  315	  5
  .  	  315	  13
  &  	  318	  20
  @  	  318	  29
  !  	  319	  16
  .  	  320	  23
  .  	  320	  29
  !  	  328	  5
  .  	  328	  13
  &  	  331	  20
  @  	  331	  29
  !  	  332	  16
  .  	  333	  23
  .  	  333	  29
  !  	  341	  5
