  !  	  1	  138
  .  	  1	  307
  .  	  1	  515
  ?  	  1	  618
  !  	  1	  772
  .  	  1	  926
  :  	  1	  1017
  \  	  1	  1062
  .  	  1	  1066
  .  	  4	  122
  .  	  4	  169
  .  	  6	  7
  .  	  9	  97
  .  	  9	  198
  .  	  9	  338
  .  	  9	  448
  .  	  9	  527
  .  	  9	  627
  .  	  9	  933
  :  	  9	  1015
  .  	  9	  1072
  .  	  12	  222
  .  	  12	  376
  .  	  12	  546
  :  	  12	  666
  .  	  12	  810
  .  	  12	  965
  .  	  13	  166
  .  	  13	  452
  .  	  13	  509
  .  	  13	  575
  .  	  13	  728
  .  	  13	  994
  .  	  13	  1159
  .  	  13	  1277
  .  	  14	  112
  .  	  14	  383
  .  	  14	  544
  .  	  14	  608
  .  	  14	  749
  .  	  19	  172
  7.  	  19	  242
  .  	  19	  510
  .  	  19	  541
  .  	  19	  550
  .  	  19	  584
  :  	  20	  33
  .  	  21	  243
  .  	  21	  416
  "  	  21	  621
  "  	  21	  634
  .  	  21	  782
  "  	  21	  932
  "  	  21	  955
  .  	  21	  1059
  :  	  21	  1143
  "  	  21	  1205
  "  	  21	  1228
  .  	  21	  1229
  .  	  21	  1387
  .  	  24	  204
  .  	  24	  259
  .  	  24	  366
  .  	  24	  614
  .  	  24	  719
  :  	  24	  817
  .  	  24	  822
  .  	  24	  1019
  .  	  24	  1125
  .  	  32	  95
  .  	  32	  267
  .  	  32	  460
  .  	  34	  7
  $  	  37	  17
  .  	  38	  106
  .  	  38	  187
  .  	  38	  420
  \  	  38	  458
  .  	  38	  595
  .  	  38	  652
  :  	  38	  733
  .  	  38	  779
  '  	  39	  51
  :  	  40	  5
  .  	  40	  88
  .  	  40	  286
  .  	  40	  357
  .  	  40	  502
  .  	  40	  684
  :  	  40	  875
  .  	  40	  905
  .  	  45	  214
  :  	  45	  318
  :  	  45	  514
  .  	  45	  520
  .  	  45	  649
  .  	  45	  772
  .  	  45	  833
  :  	  45	  973
  .  	  51	  154
  .  	  51	  328
  .  	  51	  469
  :  	  57	  52
  "  	  65	  76
  "  	  65	  84
  .  	  65	  200
  \  	  65	  323
  .  	  65	  389
  .  	  66	  52
  .  	  67	  251
  .  	  67	  309
  :  	  67	  345
  "  	  76	  55
  "  	  76	  63
  "  	  76	  72
  "  	  76	  80
  .  	  76	  155
  :  	  76	  191
  :  	  85	  310
  .  	  91	  7
  :  	  94	  209
  :  	  104	  62
  :  	  104	  79
  .  	  114	  226
  .  	  115	  79
  "  	  115	  113
  :  	  115	  116
  "  	  115	  133
  "  	  115	  372
  "  	  115	  378
  .  	  115	  380
  "  	  115	  398
  "  	  115	  417
  !  	  115	  500
  .  	  115	  502
  "  	  115	  538
  "  	  115	  557
  "  	  115	  615
  "  	  115	  621
  .  	  115	  622
  "  	  115	  667
  "  	  115	  673
  .  	  115	  705
  .  	  115	  769
  !  	  115	  810
